id_parcela,region,variedad,superficie_ha,temp_promedio,humedad_suelo,ph_suelo,horas_sol,riego_mm,fertilizante_kg,densidad_plantas,rendimiento_kg_ha,calidad_cosecha
PARC-00001,Lambayeque,Emerald,10.55,19.5,55.5,6.72,9.6,523.0,282.0,4443.0,8476.0,Baja
PARC-00002,Lambayeque,Biloxi,4.33,22.0,42.1,5.48,8.4,698.0,166.0,4204.0,8542.0,Baja
PARC-00003,La Libertad,Ventura,5.04,21.0,40.7,6.22,7.7,619.0,253.0,3547.0,9270.0,Alta
PARC-00004,La Libertad,Rocio,7.19,20.4,52.1,6.63,9.2,507.0,277.0,4229.0,8624.0,Media
PARC-00005,Lambayeque,Biloxi,2.76,20.8,56.9,5.33,9.2,592.0,201.0,3778.0,9033.0,Media
PARC-00006,La Libertad,Biloxi,11.61,22.0,43.4,6.11,6.7,565.0,238.0,3521.0,8790.0,Media
PARC-00007,Ica,Rocio,6.91,20.8,,6.71,8.3,590.0,246.0,3512.0,8765.0,Media
PARC-00008,La Libertad,Rocio,3.9,21.0,53.5,6.99,9.5,561.0,295.0,4238.0,8446.0,Baja
PARC-00009,Lambayeque,Ventura,4.71,18.9,,5.15,9.1,597.0,200.0,3535.0,9172.0,Alta
PARC-00010,La Libertad,Ventura,9.98,22.6,36.1,5.46,8.5,654.0,240.0,4358.0,8778.0,Media
PARC-00011,Lambayeque,Rocio,8.34,23.1,39.6,5.51,9.0,787.0,204.0,4329.0,8664.0,Media
PARC-00012,La Libertad,Emerald,6.65,24.7,42.2,6.17,6.7,584.0,225.0,3761.0,7507.0,Baja
PARC-00013,La Libertad,Rocio,5.32,21.8,53.4,6.9,9.2,552.0,300.0,4092.0,8338.0,Baja
PARC-00014,La Libertad,Biloxi,11.01,21.8,47.2,6.11,6.7,573.0,224.0,3568.0,9063.0,Alta
PARC-00015,Lambayeque,Emerald,9.73,23.6,32.5,5.47,9.2,697.0,208.0,4549.0,8348.0,Baja
PARC-00016,La Libertad,Emerald,9.18,19.8,,5.92,8.2,534.0,251.0,4212.0,8947.0,Media
PARC-00017,Lambayeque,Biloxi,6.46,21.6,41.0,5.72,9.5,705.0,179.0,3827.0,9039.0,Media
PARC-00018,La Libertad,Emerald,11.81,20.5,60.5,5.57,9.4,516.0,226.0,3757.0,9553.0,Alta
PARC-00019,Lambayeque,Biloxi,9.1,22.6,47.0,6.15,6.5,623.0,214.0,3737.0,7915.0,Baja
PARC-00020,Lambayeque,Rocio,6.24,22.2,67.1,6.96,9.1,610.0,229.0,3872.0,7490.0,Baja
PARC-00021,La Libertad,Emerald,11.61,21.5,59.2,6.85,8.8,460.0,259.0,4012.0,8597.0,Media
PARC-00022,La Libertad,Biloxi,10.96,22.9,41.4,5.71,10.2,739.0,212.0,3507.0,9181.0,Alta
PARC-00023,La Libertad,Emerald,9.4,23.3,47.2,6.0,7.4,615.0,226.0,3409.0,7954.0,Baja
PARC-00024,Lambayeque,Biloxi,9.67,22.7,50.1,6.13,6.5,619.0,212.0,3604.0,8502.0,Baja
PARC-00025,Ica,Rocio,6.24,21.2,62.3,7.02,9.0,497.0,283.0,4357.0,8054.0,Baja
PARC-00026,La Libertad,Biloxi,7.07,20.3,60.8,5.38,9.0,524.0,168.0,4012.0,9227.0,Alta
PARC-00027,Lambayeque,Emerald,3.92,22.0,,5.65,9.3,661.0,174.0,3387.0,9068.0,Alta
PARC-00028,Lambayeque,Biloxi,7.95,19.1,61.4,5.27,9.4,500.0,183.0,3944.0,8872.0,Media
